season,page,title,encoding
,tablest/tsje2025.html,Czechia,
,tablesp/pol2025.html,Poland,
,tablesz/zwit2025.html,Switzerland,
,tablesz/zwit2026.html,Switzerland,
,tablesg/grk2025.html,Greece,
,tablest/tur2025.html,Turkey,
,tablesm/mauri2014.html,,
,tablesm/mauri2015.html,Mauritius 2014/15,
,tablesm/mauri2016.html,,
,tablesm/mauri2017.html,,
,tablesm/mauri2018.html,,
,tablesm/mauri2019.html,,
,tablesm/mauri2020.html,,
,tablesm/mauri2021.html,,
,tablesr/rodri2023.html,,
,tablesm/mauri2023.html,,
,tablesm/mauri2024.html,,
,tablesm/mauri2025.html,,
,tablesm/mauri2026.html,|Mauritius,
,tables/30full.html,,iso-8859-2
,tables/34full.html,,iso-8859-2
,tables/38full.html,,iso-8859-2
,tables/50full.html,,iso-8859-2
,tables/54full.html,,iso-8859-2
,tables/58full.html,,iso-8859-2
,tables/62full.html,,iso-8859-2
,tables/66full.html,,iso-8859-2
,tables/70full.html,,iso-8859-2
,tables/74full.html,,iso-8859-2
,tables/78full.html,,iso-8859-2
,tables/82full.html,,iso-8859-2
,tables/86full.html,,iso-8859-2
,tables/90full.html,,iso-8859-2
,tables/94full.html,,iso-8859-2
,tables/98full.html,,iso-8859-2
,tables/2002full.html,,windows-1252
,tables/2006full.html,,windows-1252
,tables/2010full.html,,utf-8
,tables/2014full.html,,utf-8
,tables/34q.html,,windows-1252
,tables/38q.html,,windows-1252
,tables/50q.html,,windows-1252
,tables/54q.html,,windows-1252
,tables/58q.html,,windows-1252
,tables/62q.html,,windows-1252
,tables/66q.html,,windows-1252
,tables/70q.html,,windows-1252
,tables/74q.html,,windows-1252
,tables/78q.html,,windows-1252
,tables/82q.html,,windows-1252
,tables/86q.html,,windows-1252
,tables/90q.html,,windows-1252
,tables/94q.html,,windows-1252
,tables/98q.html,,windows-1252
,tables/2002q.html,,windows-1252
,tables/2006q.html,,windows-1252
,tables/2010q.html,,windows-1252
,tables/2014q.html,,windows-1252
,tables/2018q.html,,windows-1252
,tables/2022q.html,World Cup 2022 Qualifying,windows-1252
,tables/34qual.html,,windows-1252
,tables/38qual.html,,windows-1252
,tables/50qual.html,,iso-8859-2
,tables/54qual.html,,iso-8859-2
,tables/58qual.html,,iso-8859-2
,tables/62qual.html,,iso-8859-2
,tables/66qual.html,,iso-8859-2
,tables/70qual.html,,iso-8859-2
,tables/74qual.html,,iso-8859-2
,tables/78qual.html,,iso-8859-2
,tables/82qual.html,,iso-8859-2
,tables/86qual.html,,iso-8859-2
,tables/90qual.html,,iso-8859-2
,tables/94qual.html,,iso-8859-2
,tables/98qual.html,,iso-8859-2
,tables/50q-det.html,,utf-16le
,tables/54q-det.html,,utf-16le
,tables/2006q-det.html,,windows-1252
,tables/2010q-det.html,,windows-1252
,tables/30f.html,,windows-1252
,tables/34f.html,,windows-1252
,tables/38f.html,,windows-1252
,tables/50f.html,,windows-1252
,tables/54f.html,,windows-1252
,tables/58f.html,,windows-1252
,tables/62f.html,,windows-1252
,tables/66f.html,,windows-1252
,tables/70f.html,,windows-1252
,tables/74f.html,,windows-1252
,tables/78f.html,,windows-1252
,tables/82f.html,,windows-1252
,tables/86f.html,,windows-1252
,tables/90f.html,,windows-1252
,tables/94f.html,,windows-1252
,tables/98f.html,,windows-1252
,tables/2002f.html,,windows-1252
,tables/2006f.html,,windows-1252
,tables/2010f.html,,windows-1252
,tables/2014f.html,,windows-1252
,tables/2018f.html,,windows-1252
,tables/2022f.html,World Cup 2022,windows-1252
,tablesa/ango2026.html,Angola,
,tablesb/benin2026.html,Benin,
,tablesb/bots2026.html,Botswana,
,tablesb/burkf2026.html,Burkina Faso,
,tablesb/buru2026.html,Burundi,
,tablesk/kam2026.html,Cameroon,
,tablesk/kaapv2026.html,Cape Verde,
,tablesc/cafr2024.html,Central African Republic (national),
,tablesc/cafr2025.html,Central African Republic (Bangui),
,tablest/tsja2025.html,Chad,
,tablesc/como2025.html,Comoros,
,tablesk/kong2025.html,Congo-Brazzaville,
,tablesz/zaire2026.html,Congo-Kinshasa,
,tablesd/dji2025.html,Djibouti,
,tablese/eqguinea2025.html,Equatorial Guinea,
,tablese/erit2025.html,Eritrea,
,tabless/swaz2026.html,Eswatini,
,tablese/ethi2026.html,Ethiopia,
,tablesg/gab2026.html,Gabon,
,tablesg/gamb2026.html,Gambia,
,tablesg/gha2026.html,Ghana,
,tablesg/guinea2026.html,Guinea,
,tablesg/gbis2026.html,Guinea Bissau,
,tablesi/ivo2026.html,Ivory Coast,
,tablesk/kenya2026.html,Kenya,
,tablesl/leso2026.html,Lesotho,
,tablesl/liber2026.html,Liberia,
,tablesl/lib2025.html,Libya,
,tablesm/madag2026.html,Madagascar,
,tablesm/malaw2025.html,Malawi,
,tablesm/mali2026.html,Mali,
,tablesm/maur2026.html,Mauritania,
,tablesm/mayo2025.html,Mayotte,
,tablesm/moz2025.html,Mozambique,
,tablesn/nami2026.html,Namibia,
,tablesn/niger2026.html,Niger,
,tablesn/nig2026.html,Nigeria,
,tablesr/reunion2025.html,Reunion,
,tablesr/rodri2025.html,Rodrigues,
,tablesr/rwan2026.html,Rwanda,
,tabless/sthelena2025.html,Saint Helena,
,tabless/saotome2026.html,São Tomé e Príncipe,
,tabless/sene2026.html,Senegal,
,tabless/sey2026.html,Seychelles,
,tabless/sier2026.html,Sierra Leone,
,tabless/soma2026.html,Somalia,
,tabless/somalil2024.html,Somaliland,
,tablesz/zsoed2026.html,South Sudan,
,tabless/soed2026.html,Sudan,
,tablest/tanz2026.html,Tanzania,
,tablest/togo2026.html,Togo,
,tablest/tun2025.html,Tunisia,
,tableso/oeg2026.html,Uganda,
,tablesz/zamb2026.html,Zambia,
,tablesz/zanz2026.html,Zanzibar,
,tablesz/zimb2026.html,Zimbabwe,
,tablesa/alaska2025.html,Alaska,
,tablesa/anguilla2025.html,Anguilla,
,tablesa/antig2026.html,Antigua and Barbuda,
,tablesa/aruba2026.html,Aruba,
,tablesb/bahama2026.html,Bahamas,
,tablesb/barb2026.html,Barbados,
,tablesb/belize2026.html,Belize,
,tablesb/berm2026.html,Bermuda,
,tablesb/bol2025.html,Bolivia,
,tablesb/bonaire2026.html,Bonaire,
,tablesb/brmaagd2026.html,British Virgin Islands,
,tablesc/can2025.html,Canada,
,tablesc/cayman2026.html,Cayman Islands,
,tablesc/chile2025.html,Chile,
,tablesc/cos2026.html,Costa Rica,
,tablesc/cuba2025.html,Cuba,
,tablesc/curacao2026.html,Curaçao,
,tablesd/domi2025.html,Dominica,
,tablesd/domrep2025.html,Dominican Republic,
,tablese/ecua2025.html,Ecuador,
,tablese/elsal2026.html,El Salvador,
,tablesf/falk2025.html,Falkland Islands,
,tablesf/frguy2025.html,French Guyana,
,tablesg/groenl2025.html,Greenland,
,tablesg/grenada2025.html,Grenada,
,tablesf/frant2025.html,Guadeloupe|Martinique|Saint-Barthélemy|Saint-Martin,
,tablesg/guat2026.html,Guatemala,
,tablesg/guyana2025.html,Guyana,
,tablesh/haiti2026.html,Haiti,
,tablesh/hond2026.html,Honduras,
,tablesj/jam2026.html,Jamaica,
,tablesn/nica2026.html,Nicaragua,
,tablesp/panama2025.html,Panama,
,tablesp/para2026.html,Paraguay,
,tablesp/peru2026.html,Peru,
,tablesp/p-rico2026a.html,Puerto Rico,
,tabless/stkitts2026.html,Saint Kitts and Nevis,
,tabless/stlucia2025.html,Saint Lucia,
,tabless/stpierre2025.html,Saint-Pierre et Miquelon,
,tabless/stvin2025.html,Saint Vincent and the Grenadines,
,tabless/stmaarten2025.html,Sint Maarten,
,tabless/suri2026.html,Surinam,
,tablest/trin2026.html,Trinidad and Tobago,
,tablest/turkscaicos2026.html,Turks and Caicos Islands,
,tablesu/usamaagd2025.html,US Virgin Islands,
,tablesv/venez2025.html,Venezuela,
,tablesa/afgh2025.html,Afghanistan,
,tablesa/amsamoa2024.html,American Samoa,
,tablesb/bah2025.html,Bahrain,
,tablesb/bang2026.html,Bangladesh,
,tablesb/bhutan2025.html,Bhutan,
,tablesp/png-bgv2025.html,Bougainville,
,tablesb/brunei2026.html,Brunei,
,tablesc/cambod2026.html,Cambodia,
,tablesc/cook2025.html,Cook Islands,
,tableso/oosttim2025.html,East Timor,
,tablesf/fiji2026.html,Fiji (districts),
,tablesf/fiji2025.html,Fiji (clubs),
,tablesg/guam2025.html,Guam,
,tablesh/hawaii2022.html,Hawaii (Oahu),
,tablesh/hk2026.html,Hongkong,
,tablest/tahiti2025.html,Huahine|Marquesas Islands|Raiatea,
,tablesi/india2025.html,India,
,tablesi/indo2026.html,Indonesia,
,tablesi/iran2025.html,Iran,
,tablesi/iraq2025.html,Iraq,
,tablesj/jord2025.html,Jordan,
,tablesk/kiri2025.html,Kiribati,
,tablesi/iraq-kurd2025.html,Kurdistan,
,tablesk/kuw2025.html,Kuwait,
,tablesk/kyrg2026.html,Kyrgyzstan,utf-16le
,tablesl/laos2026.html,Laos,
,tablesl/leb2025.html,Lebanon,
,tablesm/macao2026.html,Macao,
,tablesm/malay2026.html,Malaysia,
,tablesm/maled2026.html,Maldives,
,tablesm/micro2022.html,Micronesia,
,tablesm/mong2026.html,Mongolia,
,tablest/tahiti2026.html,Mooréa|Tahiti,
,tablesm/myan2026.html,Myanmar,
,tablesn/nepal2023.html,Nepal (A Division),
,tablesn/nepal2025.html,Nepal (Super League),
,tablesn/newcal2026.html,New Caledonia,
,tablesn/nz2025.html,New Zealand,
,tablesn/nmi2026.html,Northern Marianas,
,tableso/oman2025.html,Oman,
